barrio_nombre;distrito_nombre
        Palacio;    Centro 
        Embajadores;    Centro 
        Cortes;    Centro 
        Justicia;    Centro 
        Universidad;    Centro 
        Sol;    Centro 
        Imperial;    Arganzuela 
        Las Acacias;    Arganzuela 
        La Chopera;    Arganzuela 
        Legazpi;    Arganzuela 
        Delicias;    Arganzuela 
        Palos de Moguer;    Arganzuela 
        Atocha;    Arganzuela 
        Pacífico;    Retiro 
        Adelfas;    Retiro 
        Estrella;    Retiro 
        Ibiza;    Retiro 
        Jerónimos;    Retiro 
        Niño Jesús;    Retiro 
        Recoletos;    Salamanca 
        Goya;    Salamanca 
        Fuente del Berro;    Salamanca 
        Guindalera;    Salamanca 
        Lista;    Salamanca 
        Castellana;    Salamanca 
        El Viso;    Chamartín 
        Prosperidad;    Chamartín 
        Ciudad Jardín;    Chamartín 
        Hispanoamérica;    Chamartín 
        Nueva España;    Chamartín 
        Castilla;    Chamartín 
        Bellas Vistas;    Tetuan 
        Cuatro Caminos;    Tetuan 
        Castillejos;    Tetuan 
        Almenara;    Tetuan 
        Valdeacederas;    Tetuan 
        Berruguete;    Tetuan 
        Gaztambide;    Chamberí 
        Arapiles;    Chamberí 
        Trafalgar;    Chamberí 
        Almagro;    Chamberí 
        Ríos Rosas;    Chamberí 
        Vallehermoso;    Chamberí 
        El Pardo;    Fuencarral-El Pardo 
        Fuentelarreina;    Fuencarral-El Pardo 
        Peña Grande;    Fuencarral-El Pardo 
        El Pilar;    Fuencarral-El Pardo 
        La Paz;    Fuencarral-El Pardo 
        Valverde;    Fuencarral-El Pardo 
        Mirasierra;    Fuencarral-El Pardo 
        El Goloso;    Fuencarral-El Pardo 
        Casa de Campo;    Moncloa-Aravaca 
        Argüelles;    Moncloa-Aravaca 
        Ciudad Universitaria;    Moncloa-Aravaca 
        Valdezarza;    Moncloa-Aravaca 
        Valdemarín;    Moncloa-Aravaca 
        El Plantío;    Moncloa-Aravaca 
        Aravaca;    Moncloa-Aravaca 
        Los Cármenes;    Latina 
        Puerta del Angel;    Latina 
        Lucero;    Latina 
        Aluche;    Latina 
        Campamento;    Latina 
        Cuatro Vientos;    Latina 
        Las Aguilas;    Latina 
        Comillas;    Carabanchel 
        Opañel;    Carabanchel 
        San Isidro;    Carabanchel 
        Vista Alegre;    Carabanchel 
        Puerta Bonita;    Carabanchel 
        Buenavista;    Carabanchel 
        Abrantes;    Carabanchel 
        Orcasitas;    Usera 
        Orcasur;    Usera 
        San Fermín;    Usera 
        Almendrales;    Usera 
        Moscardó;    Usera 
        Zofío;    Usera 
        Pradolongo;    Usera 
        Entrevías;    Puente de Vallecas 
        San Diego;    Puente de Vallecas 
        Palomeras Bajas;    Puente de Vallecas 
        Palomeras Sureste;    Puente de Vallecas 
        Portazgo;    Puente de Vallecas 
        Numancia;    Puente de Vallecas 
        Pavones;    Moratalaz 
        Horcajo;    Moratalaz 
        Marroquina;    Moratalaz 
        Media Legua;    Moratalaz 
        Fontarrón;    Moratalaz 
        Vinateros;    Moratalaz 
        Ventas;    Ciudad Lineal 
        Pueblo Nuevo;    Ciudad Lineal 
        Quintana;    Ciudad Lineal 
        Concepción;    Ciudad Lineal 
        San Pascual;    Ciudad Lineal 
        San Juan Bautista;    Ciudad Lineal 
        Colina;    Ciudad Lineal 
        Atalaya;    Ciudad Lineal 
        Costillares;    Ciudad Lineal 
        Palomas;    Hortaleza 
        Piovera;    Hortaleza 
        Canillas;    Hortaleza 
        Pinar del Rey;    Hortaleza 
        Apostol Santiago;    Hortaleza 
        Valdefuentes;    Hortaleza 
        San Andrés;    Villaverde 
        San Cristobal;    Villaverde 
        Butarque;    Villaverde 
        Los Rosales;    Villaverde 
        Los Angeles;    Villaverde 
        Casco Histórico de Vallecas;    Villa de Vallecas 
        Santa Eugenia;    Villa de Vallecas 
        Casco Histórico de Vicálvaro;    Vicálvaro 
        Ambroz;    Vicálvaro 
        Simancas;    San Blas-Canillejas 
        Hellín;    San Blas-Canillejas 
        Amposta;    San Blas-Canillejas 
        Arcos;    San Blas-Canillejas 
        Rosas;    San Blas-Canillejas 
        Rejas;    San Blas-Canillejas 
        Canillejas;    San Blas-Canillejas 
        El Salvador;    San Blas-Canillejas 
        Alameda de Osuna;    Barajas 
        Aeropuerto;    Barajas 
        Casco Histórico de Barajas;    Barajas 
        Timón;    Barajas 
        Corralejos;    Barajas 
